dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,district_key,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,avg_temperature_c,avg_humidity_pct,total_rainfall_mm
Salem,1.698807354,0.995995874,0.70281148,salem,Salem,64,9,3947265,6.0,0,,,
Samastipur,14.7707354,0.395790839,14.37494456,samastipur,Samastipur,152,10,5463227,21.0,0,,,
Samba,0.669356657,0.039351707,0.63000495,samba,Samba,33,0,433040,6.0,0,,,
Sambalpur,1.95082885,1.296871576,0.653957274,sambalpur,Sambalpur,191,0,1271970,21.0,0,,,
Sambhal,2.052578084,0.044450144,2.00812794,sambhal,Sambhal,46,10,2818198,23.0,0,,,
Sangareddy,1.457531752,1.462695895,0.005164143,sangareddy,Sangareddy,6,1,1729145,7.0,0,,,
Sangli,0.816411266,0.371511861,0.444899405,sangli,Sangli,107,13,3253446,4.0,0,,,
Sangrur,2.448919322,0.0,2.448919322,sangrur,Sangrur,44,1,1835441,7.0,0,,,
Sant Kabir Nagar,6.190358252,0.19440129,5.995956962,santkabirnagar,Sant Kabir Nagar,48,1,1990205,23.0,0,,,
Saraikela-kharsawan,1.982457722,1.685259625,0.297198097,saraikelakharsawan,Saraikela-kharsawan,1,0,1170854,2.0,0,,,
Saran,13.6847545,1.299936265,12.38481824,saran,Saran,177,2,4674827,22.0,0,,,
Satara,0.886672906,0.88365251,0.003020396,satara,Satara,108,67,3138971,3.0,0,,,
Satna,0.676054775,0.682682458,0.006627683,satna,Satna,28,0,2619145,6.0,0,,,
Sawai Madhopur,1.752297609,0.2640657,1.488231909,sawaimadhopur,Sawai Madhopur,121,254,1511281,22.0,0,,,
Sehore,1.308962201,0.443833329,0.865128872,sehore,Sehore,36,2,1581777,5.0,0,,,
Senapati,0.710207411,0.0,0.710207411,senapati,Senapati,0,0,459428,7.0,0,,,
Seoni,1.235483561,0.815741223,0.419742338,seoni,Seoni,18,0,1600897,5.0,0,,,
